Enter cache policy (LRU, LFU): Number: 17395, Steps: 203
Number: 10597, Steps: 99
Number: 16792, Steps: 66
Number: 24119, Steps: 188
Number: 29572, Steps: 59
Number: 15376, Steps: 53
Number: 11076, Steps: 68
Number: 7312, Steps: 132
Number: 32673, Steps: 67
Number: 5761, Steps: 173
Number: 8922, Steps: 96
Number: 5974, Steps: 49
Number: 2045, Steps: 63
Number: 15269, Steps: 84
Number: 2, Steps: 1
Number: 1117, Steps: 44
Number: 29865, Steps: 77
Number: 5788, Steps: 54
Number: 22385, Steps: 69
Number: 25431, Steps: 56
Number: 19747, Steps: 136
Number: 15671, Steps: 58
Number: 8894, Steps: 184
Number: 22098, Steps: 69
Number: 16077, Steps: 27
Number: 11429, Steps: 174
Number: 6769, Steps: 44
Number: 25474, Steps: 108
Number: 26526, Steps: 139
Number: 14671, Steps: 76
Number: 30302, Steps: 85
Number: 1089, Steps: 44
Number: 14616, Steps: 133
Number: 13824, Steps: 120
Number: 2097, Steps: 63
Number: 9556, Steps: 29
Number: 1914, Steps: 55
Number: 5705, Steps: 80
Number: 25673, Steps: 51
Number: 31856, Steps: 54
Number: 6454, Steps: 106
Number: 4132, Steps: 157
Number: 3274, Steps: 43
Number: 22268, Steps: 237
Number: 19109, Steps: 105
Number: 215, Steps: 101
Number: 21229, Steps: 149
Number: 17945, Steps: 141
Number: 6650, Steps: 137
Number: 6427, Steps: 75
Number: 25243, Steps: 170
Number: 19424, Steps: 48
Number: 12149, Steps: 63
Number: 5246, Steps: 103
Number: 11323, Steps: 112
Number: 28138, Steps: 152
Number: 13785, Steps: 58
Number: 6, Steps: 8
Number: 8392, Steps: 65
Number: 20758, Steps: 224
Number: 5919, Steps: 173
Number: 21527, Steps: 74
Number: 29734, Steps: 72
Number: 17030, Steps: 40
Number: 29036, Steps: 165
Number: 26006, Steps: 126
Number: 22966, Steps: 82
Number: 20971, Steps: 87
Number: 22593, Steps: 61
Number: 29263, Steps: 59
Number: 28456, Steps: 152
Number: 24835, Steps: 113
Number: 13809, Steps: 45
Number: 19604, Steps: 136
Number: 18832, Steps: 35
Number: 19552, Steps: 43
Number: 24921, Steps: 188
Number: 27175, Steps: 77
Number: 22716, Steps: 162
Number: 4458, Steps: 46
Number: 15307, Steps: 84
Number: 23131, Steps: 162
Number: 5317, Steps: 54
Number: 5543, Steps: 204
Number: 27467, Steps: 152
Number: 26485, Steps: 46
Number: 10725, Steps: 47
Number: 29498, Steps: 46
Number: 1278, Steps: 132
Number: 26456, Steps: 77
Number: 5768, Steps: 49
Number: 28330, Steps: 121
Number: 15327, Steps: 89
Number: 32610, Steps: 116
Number: 28582, Steps: 196
Number: 31205, Steps: 147
Number: 26548, Steps: 46
Number: 24465, Steps: 126
Number: 16207, Steps: 190
Number: 26757, Steps: 46
Number: 30785, Steps: 59
Number: 14570, Steps: 45
Number: 12680, Steps: 81
Number: 14673, Steps: 177
Number: 10427, Steps: 109
Number: 29467, Steps: 72
Number: 853, Steps: 15
Number: 6407, Steps: 168
Number: 1919, Steps: 130
Number: 25951, Steps: 170
Number: 26647, Steps: 95
Number: 601, Steps: 56
Number: 9732, Steps: 47
Number: 5794, Steps: 142
Number: 22808, Steps: 30
Number: 7989, Steps: 52
Number: 1294, Steps: 39
Number: 18662, Steps: 136
Number: 869, Steps: 28
Number: 20297, Steps: 136
Number: 4389, Steps: 139
Number: 21477, Steps: 74
Number: 18396, Steps: 154
Number: 30663, Steps: 85
Number: 17222, Steps: 79
Number: 4855, Steps: 121
Number: 389, Steps: 120
Number: 101, Steps: 25
Number: 14808, Steps: 133
Number: 27191, Steps: 90
Number: 1574, Steps: 60
Number: 8617, Steps: 171
Number: 24033, Steps: 69
Number: 9953, Steps: 73
Number: 5393, Steps: 67
Number: 26723, Steps: 95
Number: 26746, Steps: 46
Number: 16127, Steps: 190
Number: 10305, Steps: 148
Number: 4731, Steps: 59
Number: 23681, Steps: 175
Number: 13381, Steps: 138
Number: 23461, Steps: 105
Number: 10476, Steps: 104
Number: 18573, Steps: 35
Number: 7737, Steps: 176
Number: 24252, Steps: 144
Number: 31505, Steps: 129
Number: 25895, Steps: 64
Number: 8087, Steps: 26
Number: 9314, Steps: 153
Number: 24352, Steps: 38
Number: 25399, Steps: 201
Number: 19187, Steps: 123
Number: 17642, Steps: 48
Number: 23540, Steps: 175
Number: 32444, Steps: 67
Number: 15008, Steps: 27
Number: 18028, Steps: 92
Number: 8207, Steps: 158
Number: 10688, Steps: 73
Number: 24529, Steps: 157
Number: 16224, Steps: 40
Number: 27103, Steps: 245
Number: 25484, Steps: 33
Number: 19710, Steps: 97
Number: 1900, Steps: 29
Number: 17728, Steps: 22
Number: 4120, Steps: 126
Number: 32649, Steps: 129
Number: 27259, Steps: 64
Number: 16963, Steps: 110
Number: 25541, Steps: 126
Number: 27810, Steps: 90
Number: 4623, Steps: 152
Number: 2349, Steps: 120
Number: 14158, Steps: 102
Number: 21864, Steps: 43
Number: 6360, Steps: 106
Number: 28611, Steps: 51
Number: 22524, Steps: 162
Number: 9808, Steps: 42
Number: 31877, Steps: 54
Number: 29637, Steps: 134
Number: 10266, Steps: 55
Number: 26059, Steps: 108
Number: 25050, Steps: 113
Number: 16057, Steps: 53
Number: 9129, Steps: 65
Number: 30243, Steps: 85
Number: 24323, Steps: 64
Number: 5865, Steps: 103
Number: 7509, Steps: 26
Number: 11942, Steps: 143
Number: 16424, Steps: 40
Number: 25007, Steps: 157
Number: 18343, Steps: 167
Number: 4103, Steps: 157
Number: 31297, Steps: 147
Number: 6896, Steps: 44
Number: 24187, Steps: 95
Number: 6145, Steps: 49
Number: 16428, Steps: 40
Number: 26087, Steps: 82
Number: 1205, Steps: 18
Number: 30781, Steps: 147
Number: 28156, Steps: 82
Number: 6948, Steps: 106
Number: 10800, Steps: 117
Number: 13430, Steps: 138
Number: 16021, Steps: 146
Number: 30676, Steps: 59
Number: 3575, Steps: 48
Number: 27611, Steps: 152
Number: 32630, Steps: 116
Number: 21058, Steps: 43
Number: 12472, Steps: 63
Number: 20917, Steps: 180
Number: 14037, Steps: 58
Number: 30622, Steps: 85
Number: 19317, Steps: 74
Number: 6473, Steps: 124
Number: 28657, Steps: 103
Number: 5886, Steps: 173
Number: 7805, Steps: 176
Number: 22784, Steps: 38
Number: 8612, Steps: 78
Number: 23970, Steps: 82
Number: 11419, Steps: 81
Number: 10437, Steps: 55
Number: 25399, Steps: 201
Number: 10364, Steps: 55
Number: 13965, Steps: 151
Number: 32687, Steps: 67
Number: 25467, Steps: 95
Number: 28399, Steps: 165
Number: 2743, Steps: 115
Number: 5344, Steps: 72
Number: 22037, Steps: 162
Number: 19160, Steps: 35
Number: 32025, Steps: 85
Number: 18349, Steps: 123
Number: 19226, Steps: 61
Number: 16843, Steps: 66
Number: 7039, Steps: 80
Number: 21247, Steps: 149
Number: 9436, Steps: 60
Number: 13215, Steps: 169
Number: 29175, Steps: 72
Number: 20472, Steps: 118
Number: 8195, Steps: 114
Number: 4652, Steps: 152
Number: 29576, Steps: 41
Number: 19418, Steps: 123
Number: 8671, Steps: 65
Number: 18003, Steps: 141
Number: 23329, Steps: 82
Number: 29989, Steps: 64
Number: 16636, Steps: 53
Number: 26175, Steps: 108
Number: 6352, Steps: 31
Number: 9216, Steps: 29
Number: 15351, Steps: 177
Number: 8427, Steps: 158
Number: 7988, Steps: 52
Number: 16858, Steps: 159
Number: 21137, Steps: 56
Number: 740, Steps: 46
Number: 9525, Steps: 78
Number: 21585, Steps: 162
Number: 13570, Steps: 89
Number: 30801, Steps: 134
Number: 12274, Steps: 125
Number: 12115, Steps: 187
Number: 32144, Steps: 28
Number: 12336, Steps: 37
Number: 30971, Steps: 160
Number: 4739, Steps: 121
Number: 26719, Steps: 69
Number: 17634, Steps: 97
Number: 1217, Steps: 132
Number: 13790, Steps: 89
Number: 15755, Steps: 128
Number: 19946, Steps: 136
Number: 32075, Steps: 147
Number: 2462, Steps: 71
Number: 8564, Steps: 26
Number: 16114, Steps: 128
Number: 9514, Steps: 78
Number: 11614, Steps: 112
Number: 16217, Steps: 66
Number: 14350, Steps: 76
Number: 30382, Steps: 134
Number: 25216, Steps: 33
Number: 553, Steps: 136
Number: 11077, Steps: 68
Number: 17242, Steps: 172
Number: 32204, Steps: 72
Number: 20373, Steps: 35
Number: 31566, Steps: 178
Number: 26518, Steps: 77
Number: 7257, Steps: 70
Number: 31082, Steps: 41
Number: 30615, Steps: 85
Number: 26276, Steps: 214
Number: 8113, Steps: 114
Number: 22814, Steps: 56
Number: 22924, Steps: 30
Number: 725, Steps: 20
Number: 13616, Steps: 63
Number: 18856, Steps: 123
Number: 10005, Steps: 29
Number: 9725, Steps: 166
Number: 27821, Steps: 152
Number: 29589, Steps: 72
Number: 7776, Steps: 101
Number: 11812, Steps: 125
Number: 8797, Steps: 34
Number: 8025, Steps: 44
Number: 3810, Steps: 38
Number: 29310, Steps: 103
Number: 16371, Steps: 128
Number: 483, Steps: 22
Number: 17304, Steps: 141
Number: 5278, Steps: 147
Number: 6412, Steps: 62
Number: 14196, Steps: 58
Number: 25235, Steps: 64
Number: 29158, Steps: 121
Number: 26315, Steps: 77
Number: 24752, Steps: 38
Number: 26035, Steps: 139
Number: 18754, Steps: 110
Number: 9920, Steps: 91
Number: 5622, Steps: 59
Number: 4275, Steps: 64
Number: 26902, Steps: 139
Number: 24847, Steps: 95
Number: 9453, Steps: 60
Number: 2149, Steps: 24
Number: 31092, Steps: 41
Number: 6606, Steps: 75
Number: 19551, Steps: 154
Number: 28479, Steps: 51
Number: 13971, Steps: 107
Number: 29102, Steps: 134
Number: 27211, Steps: 90
Number: 11031, Steps: 161
Number: 12156, Steps: 156
Number: 14814, Steps: 58
Number: 20533, Steps: 56
Number: 14379, Steps: 32
Number: 23815, Steps: 100
Number: 32556, Steps: 116
Number: 12737, Steps: 107
Number: 11620, Steps: 50
Number: 9478, Steps: 122
Number: 20590, Steps: 118
Number: 24960, Steps: 126
Number: 21980, Steps: 69
Number: 7616, Steps: 39
Number: 17440, Steps: 48
Number: 20490, Steps: 149
Number: 925, Steps: 129
Number: 9633, Steps: 47
Number: 334, Steps: 68
Number: 333, Steps: 112
Number: 32684, Steps: 98
Number: 9007, Steps: 78
Number: 20405, Steps: 87
Number: 27684, Steps: 77
Number: 15174, Steps: 71
Number: 320, Steps: 11
Number: 29477, Steps: 46
Number: 30764, Steps: 147
Number: 9833, Steps: 47
Number: 15210, Steps: 32
Number: 22057, Steps: 100
Number: 3539, Steps: 56
Number: 20374, Steps: 35
Number: 3772, Steps: 38
Number: 18410, Steps: 48
Number: 27825, Steps: 152
Number: 12502, Steps: 112
Number: 8875, Steps: 96
Number: 20817, Steps: 180
Number: 15388, Steps: 146
Number: 19963, Steps: 74
Number: 15951, Steps: 146
Number: 25964, Steps: 170
Number: 2550, Steps: 84
Number: 2088, Steps: 32
Number: 24016, Steps: 51
Number: 28947, Steps: 209
Number: 11210, Steps: 99
Number: 19091, Steps: 79
Number: 15387, Steps: 115
Number: 3531, Steps: 100
Number: 13847, Steps: 89
Number: 29834, Steps: 72
Number: 9433, Steps: 34
Number: 23530, Steps: 51
Number: 32236, Steps: 54
Number: 9396, Steps: 122
Number: 8865, Steps: 171
Number: 18428, Steps: 154
Number: 22709, Steps: 131
Number: 18842, Steps: 35
Number: 23916, Steps: 56
Number: 16230, Steps: 115
Number: 3669, Steps: 38
Number: 7013, Steps: 57
Number: 15690, Steps: 177
Number: 6217, Steps: 111
Number: 12661, Steps: 81
Number: 25321, Steps: 95
Number: 9556, Steps: 29
Number: 12457, Steps: 63
Number: 21019, Steps: 118
Number: 12771, Steps: 125
Number: 23266, Steps: 51
Number: 2255, Steps: 138
Number: 15998, Steps: 190
Number: 28799, Steps: 165
Number: 27902, Steps: 90
Number: 23787, Steps: 56
Number: 17945, Steps: 141
Number: 25630, Steps: 170
Number: 12312, Steps: 37
Number: 510, Steps: 48
Number: 13054, Steps: 76
Number: 4949, Steps: 28
Number: 8699, Steps: 202
Number: 2551, Steps: 84
Number: 28013, Steps: 152
Number: 11065, Steps: 161
Number: 18943, Steps: 229
Number: 29468, Steps: 121
Number: 32165, Steps: 98
Number: 18906, Steps: 61
Number: 27008, Steps: 46
Number: 26284, Steps: 64
Number: 24570, Steps: 157
Number: 21005, Steps: 30
Number: 4240, Steps: 126
Number: 19139, Steps: 79
Number: 24360, Steps: 38
Number: 11375, Steps: 81
Number: 27369, Steps: 214
Number: 11133, Steps: 117
Number: 26855, Steps: 95
Number: 6566, Steps: 75
Number: 22821, Steps: 82
Number: 16222, Steps: 66
Number: 4287, Steps: 126
Number: 31210, Steps: 147
Number: 10802, Steps: 161
Number: 2802, Steps: 97
Number: 13598, Steps: 120
Number: 11717, Steps: 99
Number: 2304, Steps: 27
Number: 26544, Steps: 46
Number: 31400, Steps: 28
Number: 29718, Steps: 72
Number: 29308, Steps: 103
Number: 29220, Steps: 196
Number: 4558, Steps: 152
Number: 26972, Steps: 77
Number: 18370, Steps: 185
Number: 9038, Steps: 91
Number: 31394, Steps: 178
Number: 3121, Steps: 61
Number: 20622, Steps: 87
Number: 6469, Steps: 49
Number: 15081, Steps: 89
Number: 27413, Steps: 33
Number: 16884, Steps: 172
Number: 21279, Steps: 61
Number: 14962, Steps: 164
Number: 24429, Steps: 157
Number: 7506, Steps: 163
Number: 25621, Steps: 64
Number: 14759, Steps: 45
Number: 31179, Steps: 147
Number: 31618, Steps: 191
Number: 25059, Steps: 126
Number: 5730, Steps: 28
Number: 880, Steps: 116
Number: 6228, Steps: 124
Number: 4718, Steps: 59
Number: 21250, Steps: 56
Number: 14608, Steps: 133
Number: 12859, Steps: 169
Number: 7337, Steps: 176
Number: 5053, Steps: 178
Number: 8917, Steps: 47
Number: 4678, Steps: 59
Number: 16569, Steps: 66
Number: 1592, Steps: 122
Number: 11686, Steps: 81
Number: 20562, Steps: 136
Number: 23384, Steps: 144
Number: 26452, Steps: 95
Number: 27048, Steps: 46
Number: 10111, Steps: 86
Number: 14455, Steps: 133
Number: 6987, Steps: 150
Number: 4613, Steps: 152
Number: 28384, Steps: 59
Number: 31015, Steps: 178
Number: 3069, Steps: 61
Number: 16877, Steps: 159
Number: 2679, Steps: 27
Number: 4281, Steps: 126
Number: 16772, Steps: 66
Number: 31451, Steps: 160
Number: 26720, Steps: 139
Number: 7460, Steps: 70
Number: 26894, Steps: 214
Number: 24602, Steps: 157
Number: 24140, Steps: 43
Number: 7848, Steps: 26
Number: 15852, Steps: 53
Number: 19335, Steps: 74
Number: 31537, Steps: 85
Number: 21169, Steps: 149
Number: 2278, Steps: 58
Number: 8088, Steps: 65
Number: 8512, Steps: 34
Number: 13822, Steps: 151
Number: 10706, Steps: 47
Number: 31389, Steps: 129
Number: 31768, Steps: 54
Number: 29186, Steps: 46
Number: 24421, Steps: 113
Number: 12102, Steps: 68
Number: 10041, Steps: 65
Number: 14731, Steps: 71
Number: 16712, Steps: 66
Number: 9830, Steps: 135
Number: 6331, Steps: 54
Number: 22689, Steps: 131
Number: 8302, Steps: 96
Number: 3574, Steps: 48
Number: 9280, Steps: 122
Number: 31665, Steps: 147
Number: 16806, Steps: 66
Number: 31069, Steps: 54
Number: 10791, Steps: 161
Number: 29163, Steps: 227
Number: 9836, Steps: 104
Number: 22255, Steps: 118
Number: 18178, Steps: 141
Number: 28392, Steps: 59
Number: 22533, Steps: 61
Number: 24243, Steps: 144
Number: 5962, Steps: 93
Number: 3984, Steps: 51
Number: 26827, Steps: 77
Number: 24169, Steps: 95
Number: 25426, Steps: 108
Number: 9787, Steps: 197
Number: 8133, Steps: 114
Number: 1739, Steps: 55
Number: 18298, Steps: 123
Number: 4630, Steps: 108
Number: 634, Steps: 38
Number: 7700, Steps: 52
Number: 11429, Steps: 174
Number: 9673, Steps: 60
Number: 12551, Steps: 156
Number: 15295, Steps: 84
Number: 9453, Steps: 60
Number: 24918, Steps: 38
Number: 18544, Steps: 61
Number: 29073, Steps: 59
Number: 149, Steps: 23
Number: 836, Steps: 41
Number: 16180, Steps: 66
Number: 1497, Steps: 47
Number: 12094, Steps: 94
Number: 13566, Steps: 182
Number: 28708, Steps: 77
Number: 8951, Steps: 140
Number: 16734, Steps: 159
Number: 22134, Steps: 43
Number: 18292, Steps: 35
Number: 8219, Steps: 189
Number: 7663, Steps: 88
Number: 11533, Steps: 143
Number: 17939, Steps: 53
Number: 18255, Steps: 154
Number: 16484, Steps: 66
Number: 31159, Steps: 54
Number: 20280, Steps: 87
Number: 15544, Steps: 40
Number: 4833, Steps: 72
Number: 14938, Steps: 40
Number: 29758, Steps: 147
Number: 27416, Steps: 33
Number: 14507, Steps: 71
Number: 6776, Steps: 36
Number: 12977, Steps: 50
Number: 6552, Steps: 44
Number: 23774, Steps: 56
Number: 22286, Steps: 131
Number: 22697, Steps: 219
Number: 3781, Steps: 38
Number: 22878, Steps: 56
Number: 6588, Steps: 137
Number: 854, Steps: 54
Number: 25816, Steps: 108
Number: 18959, Steps: 198
Number: 3877, Steps: 51
Number: 27613, Steps: 59
Number: 29498, Steps: 46
Number: 24649, Steps: 95
Number: 15513, Steps: 146
Number: 30306, Steps: 85
Number: 28999, Steps: 165
Number: 2694, Steps: 66
Number: 22770, Steps: 131
Number: 14182, Steps: 58
Number: 13907, Steps: 89
Number: 17502, Steps: 53
Number: 11451, Steps: 130
Number: 25428, Steps: 33
Number: 15082, Steps: 133
Number: 8886, Steps: 96
Number: 15768, Steps: 27
Number: 23638, Steps: 144
Number: 16220, Steps: 159
Number: 28724, Steps: 72
Number: 18657, Steps: 92
Number: 21101, Steps: 105
Number: 15225, Steps: 84
Number: 28150, Steps: 108
Number: 20881, Steps: 105
Number: 10689, Steps: 148
Number: 31642, Steps: 147
Number: 3203, Steps: 61
Number: 17759, Steps: 172
Number: 6966, Steps: 88
Number: 3809, Steps: 175
Number: 12545, Steps: 63
Number: 32042, Steps: 147
Number: 17215, Steps: 172
Number: 27329, Steps: 152
Number: 23209, Steps: 113
Number: 7322, Steps: 132
Number: 4855, Steps: 121
Number: 26560, Steps: 139
Number: 15481, Steps: 146
Number: 5381, Steps: 116
Number: 22382, Steps: 131
Number: 31611, Steps: 103
Number: 7976, Steps: 52
Number: 20367, Steps: 87
Number: 19264, Steps: 22
Number: 21483, Steps: 100
Number: 8031, Steps: 44
Number: 17046, Steps: 128
Number: 26221, Steps: 51
Number: 14312, Steps: 102
Number: 7206, Steps: 163
Number: 30285, Steps: 134
Number: 24676, Steps: 113
Number: 20715, Steps: 180
Number: 27037, Steps: 64
Number: 15526, Steps: 146
Number: 6241, Steps: 49
Number: 16920, Steps: 84
Number: 7148, Steps: 49
Number: 8310, Steps: 65
Number: 22521, Steps: 162
Number: 12412, Steps: 94
Number: 32380, Steps: 116
Number: 20436, Steps: 61
Number: 9204, Steps: 47
Number: 8339, Steps: 158
Number: 2920, Steps: 97
Number: 1473, Steps: 96
Number: 3930, Steps: 144
Number: 19725, Steps: 74
Number: 30510, Steps: 85
Number: 14095, Steps: 107
Number: 17616, Steps: 97
Number: 23249, Steps: 175
Number: 9387, Steps: 60
Number: 1659, Steps: 42
Number: 14885, Steps: 71
Number: 3651, Steps: 43
Number: 5446, Steps: 54
Number: 17437, Steps: 172
Number: 16937, Steps: 146
Number: 26050, Steps: 108
Number: 10603, Steps: 104
Number: 31746, Steps: 103
Number: 28862, Steps: 72
Number: 15733, Steps: 146
Number: 17723, Steps: 97
Number: 22551, Steps: 87
Number: 1329, Steps: 52
Number: 24648, Steps: 157
Number: 11649, Steps: 143
Number: 22856, Steps: 175
Number: 20170, Steps: 43
Number: 10801, Steps: 161
Number: 12520, Steps: 125
Number: 11242, Steps: 86
Number: 16289, Steps: 40
Number: 8120, Steps: 39
Number: 29036, Steps: 165
Number: 6998, Steps: 132
Number: 8628, Steps: 52
Number: 7862, Steps: 83
Number: 25103, Steps: 157
Number: 26839, Steps: 121
Number: 8759, Steps: 215
Number: 3165, Steps: 79
Number: 19661, Steps: 136
Number: 2503, Steps: 63
Number: 10027, Steps: 91
Number: 9336, Steps: 34
Number: 29905, Steps: 72
Number: 4340, Steps: 46
Number: 9010, Steps: 39
Number: 19956, Steps: 136
Number: 10473, Steps: 86
Number: 18249, Steps: 141
Number: 23458, Steps: 38
Number: 6304, Steps: 31
Number: 23096, Steps: 131
Number: 14250, Steps: 76
Number: 21720, Steps: 100
Number: 18481, Steps: 154
Number: 2859, Steps: 79
Number: 12831, Steps: 76
Number: 22735, Steps: 144
Number: 4233, Steps: 201
Number: 10926, Steps: 117
Number: 2613, Steps: 27
Number: 19441, Steps: 48
Number: 26425, Steps: 126
Number: 12191, Steps: 187
Number: 5281, Steps: 54
Number: 17452, Steps: 141
Number: 3652, Steps: 131
Number: 2178, Steps: 45
Number: 10279, Steps: 148
Number: 5705, Steps: 80
Number: 15398, Steps: 133
Number: 13175, Steps: 169
Number: 9658, Steps: 73
Number: 19833, Steps: 167
Number: 1300, Steps: 26
Number: 4714, Steps: 121
Number: 19429, Steps: 167
Number: 16689, Steps: 115
Number: 27014, Steps: 77
Number: 20362, Steps: 43
Number: 22889, Steps: 82
Number: 15672, Steps: 84
Number: 11763, Steps: 50
Number: 26108, Steps: 77
Number: 17192, Steps: 27
Number: 28671, Steps: 165
Number: 24539, Steps: 157
Number: 8912, Steps: 47
Number: 321, Steps: 24
Number: 4912, Steps: 41
Number: 11275, Steps: 86
Number: 12852, Steps: 24
Number: 14205, Steps: 89
Number: 649, Steps: 144
Number: 27165, Steps: 38
Number: 3303, Steps: 74
Number: 15594, Steps: 146
Number: 13547, Steps: 182
Number: 318, Steps: 55
Number: 23025, Steps: 56
Number: 18117, Steps: 66
Number: 19374, Steps: 167
Number: 2612, Steps: 27
Number: 6290, Steps: 62
Number: 15005, Steps: 63
Number: 11320, Steps: 37
Number: 21151, Steps: 131
Number: 9848, Steps: 73
Number: 27574, Steps: 59
Number: 22478, Steps: 61
Number: 9598, Steps: 166
Number: 30260, Steps: 41
Number: 18348, Steps: 123
Number: 30121, Steps: 64
Number: 31990, Steps: 54
Number: 2543, Steps: 177
Number: 13912, Steps: 58
Number: 17229, Steps: 79
Number: 335, Steps: 68
Number: 1625, Steps: 135
Number: 12535, Steps: 63
Number: 24342, Steps: 157
Number: 31040, Steps: 103
Number: 29155, Steps: 46
Number: 21641, Steps: 193
Number: 8468, Steps: 34
Number: 3948, Steps: 38
Number: 29742, Steps: 46
Number: 29560, Steps: 209
Number: 30233, Steps: 90
Number: 4396, Steps: 33
Number: 10691, Steps: 161
Number: 27258, Steps: 64
Number: 28943, Steps: 121
Number: 2703, Steps: 159
Number: 24580, Steps: 51
Number: 15544, Steps: 40
Number: 1679, Steps: 86
Number: 25503, Steps: 201
Number: 19811, Steps: 43
Number: 15152, Steps: 40
Number: 9904, Steps: 135
Number: 25318, Steps: 157
Number: 6609, Steps: 137
Number: 15192, Steps: 71
Number: 10525, Steps: 192
Number: 14641, Steps: 45
Number: 19321, Steps: 167
Number: 8452, Steps: 83
Number: 16235, Steps: 66
Number: 31380, Steps: 178
Number: 27567, Steps: 152
Number: 16265, Steps: 159
Number: 25001, Steps: 51
Number: 10414, Steps: 104
